名前,属性,勝利条件,テキスト
連続殺人事件,Chaos,基本勝利条件に従う。,"以下の条件を満たす度、効果を処理する。
①「どんでん返し」から結末に選ばれた
②章の終了時、小説ボード上のページカード属性を確認しChaosが5枚以上かつ奇数枚だった
未使用カードから被害者・犯行現場を公開で追加し、その後同様に死因・動機を非公開で追加する。
全プレイヤーは追加の関係性カードを得る。"
疑心暗鬼の渦,Chaos,基本勝利条件に従う。,"①このカードが公開されている間、「疑う」の効果は「対象プレイヤーの不信感+3」に変更される。
②クライマックスフェイズの不信感計算時、死因・動機・犯行現場それぞれの処理によって増加する不信感-2"
仮面パーティー,Chaos,基本勝利条件に従う。,このカードがクライマックスフェイズで結末に選ばれた時、全プレイヤーは追加の関係性カードを得る。
偽装された死,Chaos,基本勝利条件に従う。,"このカードがクライマックスフェイズで結末に選ばれた時、
全プレイヤーは、所持している所持品がもつタグの数*1の不信感を得る。
所持品がクライマックスフェイズまでに公開されている場合、対象の所持品から追加でタグの数*1の不信感を得る。"
完璧主義者の解答,Chaos,"探偵は追加で犯人以外の全プレイヤーのロールも推理する。
その推理が全て当たっていた場合、「探偵・探偵サイド」の勝利となる。
1つでも失敗していた場合、「犯人・犯人サイド」の勝利となる。",
命がけの復讐劇,Neutral,基本勝利条件に従う。,"「犯人」は被害者キャラクターとなる。
複数いる場合は、ランダムな方法で被害者キャラクターから一人を決定する。"
運命のカウントダウン,Neutral,基本勝利条件に従う。,"「犯人」が敗北した場合、以下の効果を処理する。
「犯人」は手札のページカードを１枚非公開配置する。（ない場合は効果不発）
「探偵」は「犯人」以外と相談の上、そのカードのコストが偶数と思うなら青、奇数なら赤を宣言する。
ただし、コストが0だと思う場合は「ピンク」を宣言する。
宣言に失敗した場合、「犯人」の勝利となる。
宣言に成功した場合、「探偵」「探偵サイド」「犯人サイド」の勝利となる。"
少年漫画的展開,Neutral,基本勝利条件に従う。,「探偵」「犯人」以外は全員「探偵サイド」となる。
傾いた天秤,Neutral,基本勝利条件に従う。,「探偵」「犯人」以外は全員「犯人サイド」となる。
叙述トリック,Neutral,基本勝利条件に従う。,「犯人」のロールを取り除き、「探偵」のロールを「犯人」に上書きする。
トゥルーエンド,Neutral,このゲームはプレイヤー全員の勝利、製作者の敗北となる。,
そうして誰もいなくなった,Neutral,"このゲームはプレイヤー全員の敗北、製作者の勝利となる。
ただし、クライマックスフェイズ以外のタイミングで山札の一番上にある
このカードを確認していたプレイヤーは、黒幕となり勝利したものとして扱う。",
